municipality,total_area,out_reach,out_reach_perc
Albertslund,23205187,0,0
Allerød,68059711,0,0
Ballerup,34081257,0,0
Bornholm,590168464,10873199,1.84
Brøndby,21431555,358630,1.67
Christiansø,385034,385034,100
Dragør,19055088,2172192,11.4
Egedal,125985428,0,0
Fredensborg,111740164,28165,0.03
Frederiksberg,8684007,0,0
Frederikssund,252456325,21973650,8.7
Furesø,56557024,0,0
Gentofte,25859881,0,0
Gladsaxe,25017075,0,0
Glostrup,13390680,0,0
Gribskov,280349958,12264841,4.37
Halsnæs,123378843,6339767,5.14
Helsingør,122281828,54622,0.04
Herlev,12097061,0,0
Hillerød,213246962,0,0
Høje Taastrup,77709007,0,0
Hørsholm,31415744,1534,0
Hvidovre,23152620,34154,0.15
Ishøj,26138318,968739,3.71
København,89508554,11,0
Lyngby-Taarbæk,38702415,0,0
Rødovre,12121736,0,0
Rudersdal,73363932,1022,0
Tårnby,66987487,28904976,43.15
Vallensbæk,9030557,51633,0.57
Århus,472173787,7747006,1.64
Favrskov,541482717,5077723,0.94
Hedensted,552217314,27287440,4.94
Herning,1323481428,46721335,3.53
Holstebro,800750437,72677167,9.08
Horsens,525798193,21708208,4.13
Ikast-Brande,735084063,36096268,4.91
Lemvig,513564023,264881364,51.58
Norddjurs,725545460,94475150,13.02
Odder,225962196,17427666,7.71
Randers,751572089,101171390,13.46
Ringkøbing-Skjern,1473164851,68983517,4.68
Samsø,114189409,114189409,100
Silkeborg,863721839,0,0
Skanderborg,455309715,0,0
Skive,689561951,79119701,11.47
Struer,246311959,82516748,33.5
Syddjurs,697239357,214106793,30.71
Viborg,1420808000,3439605,0.24
Aalborg,1139729821,83310747,7.31
Brønderslev,633070696,19158795,3.03
Frederikshavn,648814538,107038527,16.5
Hjørring,924179977,44535944,4.82
Jammerbugt,867415738,130766576,15.08
Læsø,120281039,120281039,100
Mariagerfjord,724034088,27502368,3.8
Morsø,366824409,37217742,10.15
Rebild,623745262,0,0
Thisted,1095919332,769014113,70.17
Vesthimmerland,766987828,40062086,5.22
Faxe,405827697,11656372,2.87
Greve,61121337,33580,0.05
Guldborgsund,905887073,343605834,37.93
Holbæk,581363358,22403261,3.85
Kalundborg,608306271,69531160,11.43
Køge,256054400,639567,0.25
Lejre,241082384,736170,0.31
Lolland,898455693,103812403,11.55
Næstved,688376424,132640677,19.27
Odsherred,359129724,26433108,7.36
Ringsted,295629252,0,0
Roskilde,212648991,0,0
Slagelse,585153446,83555113,14.28
Solrød,40342621,253381,0.63
Sorø,307702343,0,0
Stevns,251356324,15127143,6.02
Vordingborg,638606495,140018408,21.93
Aabenraa,941862991,123537714,13.12
Ærø,90029896,90029896,100
Assens,512407348,29052736,5.67
Billund,539855148,323400661,59.91
Esbjerg,782382692,387552203,49.53
Faaborg-Midtfyn,635454918,69998068,11.02
Fanø,64431541,64431541,100
Fredericia,136066208,9350843,6.87
Haderslev,823256817,114946452,13.96
Kerteminde,215821522,50310734,23.31
Kolding,606516453,17598448,2.9
Langeland,291986037,91682226,31.4
Middelfart,300256481,27124610,9.03
Nordfyns,451741967,35759122,7.92
Nyborg,278414884,5919217,2.13
Odense,305795249,4514701,1.48
Sønderborg,494294918,89920613,18.19
Svendborg,418434791,21980434,5.25
Tønder,1174356170,1107876265,94.34
Varde,1232704092,137892204,11.19
Vejen,813782170,58310785,7.17
Vejle,1060705554,25421581,2.4
