label,institution_name,street,post_number,municipality,region,lat,lng
"Skolen i Charlottegården, Frederikssundsvej 77, 2400, Københavns ",Skolen i Charlottegården,Frederikssundsvej 77,2400,Københavns , Hovedstaden,55.70459282,12.52582065
"Frederiksgård Skole, Ørholmgade 8, 2200, Københavns ",Frederiksgård Skole,Ørholmgade 8,2200,Københavns , Hovedstaden,55.69647303,12.53909587
"Engskolen, Haderslevgade 6, 1671, Københavns ",Engskolen,Haderslevgade 6,1671,Københavns , Hovedstaden,55.66830253,12.54556806
"Øresundsskolen, Carl Nielsens Allé 33, 2100, Københavns ",Øresundsskolen,Carl Nielsens Allé 33,2100,Københavns , Hovedstaden,55.71368626,12.58092077
"Frejaskolen, Rughavevej 6, 2500, Københavns ",Frejaskolen,Rughavevej 6,2500,Københavns , Hovedstaden,55.66497865,12.51519868
"Heerup Skole, Frederiksgårds Allé 13, 2720, Københavns ",Heerup Skole,Frederiksgårds Allé 13,2720,Københavns , Hovedstaden,55.69261411,12.5095252
"Skolen i Peter Vedels Gade, Peter Vedels Gade 8, 2300, Københavns ",Skolen i Peter Vedels Gade,Peter Vedels Gade 8,2300,Københavns , Hovedstaden,55.66590807,12.59354324
"Fensmarkskolen, Stevnsgade 34, 2200, Københavns ",Fensmarkskolen,Stevnsgade 34,2200,Københavns , Hovedstaden,55.69593905,12.55209955
"Strandparkskolen, Thomas Koppels Allé 10, 2450, Københavns ",Strandparkskolen,Thomas Koppels Allé 10,2450,Københavns , Hovedstaden,55.64498713,12.53068786
"Kasperskolen, Ejbyvej 35, 2740, Ballerup ",Kasperskolen,Ejbyvej 35,2740,Ballerup , Hovedstaden,55.71649979,12.39975771
"Ordblindeinstituttet, Lundebjerg 72, 2740, Ballerup ",Ordblindeinstituttet,Lundebjerg 72,2740,Ballerup , Hovedstaden,55.72096489,12.41432283
"Søgårdsskolen, C L Ibsens Vej 3, 2820, Gentofte ",Søgårdsskolen,C L Ibsens Vej 3,2820,Gentofte , Hovedstaden,55.75147891,12.54016045
"Sofieskolen, Granvej 53, 2880, Gladsaxe ",Sofieskolen,Granvej 53,2880,Gladsaxe , Hovedstaden,55.75995215,12.44760912
"Bakkeskolen, Taxvej 25, 2880, Gladsaxe ",Bakkeskolen,Taxvej 25,2880,Gladsaxe , Hovedstaden,55.76111041,12.44431279
"Gamle Hjortespringskole, Krogestykket 33, 2730, Herlev ",Gamle Hjortespringskole,Krogestykket 33,2730,Herlev , Hovedstaden,55.73872295,12.43916678
"Brøndagerskolen, Helhedstilbudet, Nordmarks Allé 20, 2620, Albertslund ","Brøndagerskolen, Helhedstilbudet",Nordmarks Allé 20,2620,Albertslund , Hovedstaden,55.65637878,12.36181809
"Sorgenfriskolen, Kongevejen 55, 2800, Lyngby-Taarbæk ",Sorgenfriskolen,Kongevejen 55,2800,Lyngby-Taarbæk , Hovedstaden,55.78314831,12.48989302
"Heldagsskolen Fuglsanggård, Fuglsanggårds Allé 10, 2830, Lyngby-Taarbæk ",Heldagsskolen Fuglsanggård,Fuglsanggårds Allé 10,2830,Lyngby-Taarbæk , Hovedstaden,55.78997402,12.47775355
"Geelsgårdskolen, Kongevejen 252, 2830, Lyngby-Taarbæk ",Geelsgårdskolen,Kongevejen 252,2830,Lyngby-Taarbæk , Hovedstaden,55.79790176,12.48241283
"Helhedstilbuddet Skovmoseskolen, Rødovre Parkvej 401 B, 2610, Rødovre ",Helhedstilbuddet Skovmoseskolen,Rødovre Parkvej 401 B,2610,Rødovre , Hovedstaden,55.67971817,12.44313166
"Ishøjgård, Ishøj Søndergade 13, 2635, Ishøj ",Ishøjgård,Ishøj Søndergade 13,2635,Ishøj , Hovedstaden,55.62338998,12.30134745
"Specialskolen Tårnbygård, Englandsvej 392, 2770, Tårnby ",Specialskolen Tårnbygård,Englandsvej 392,2770,Tårnby , Hovedstaden,55.61914171,12.60512044
"Kirkebækskolen, Gymnasievej 37, 2625, Vallensbæk ",Kirkebækskolen,Gymnasievej 37,2625,Vallensbæk , Hovedstaden,55.65445464,12.36054945
"Maglebjergskolen, Kokkedalen 2, 3540, Allerød ",Maglebjergskolen,Kokkedalen 2,3540,Allerød , Hovedstaden,55.845354210000004,12.28623141
"Den Musiske Helhedsskole, Københavnsvej 27, 3400, Hillerød ",Den Musiske Helhedsskole,Københavnsvej 27,3400,Hillerød , Hovedstaden,55.93383806,12.3126045
"Hillerød Dagbehandlings Skole, Kulsviervej 20, 3400, Hillerød ",Hillerød Dagbehandlings Skole,Kulsviervej 20,3400,Hillerød , Hovedstaden,55.93835348,12.35787264
"Harløse Skole, Nordhøjvej 1 A, 3400, Hillerød ",Harløse Skole,Nordhøjvej 1 A,3400,Hillerød , Hovedstaden,55.9267892,12.23882155
"Skolen ved Skoven, Østervang 126, 3400, Hillerød ",Skolen ved Skoven,Østervang 126,3400,Hillerød , Hovedstaden,55.93642121,12.34357821
"Lillebjerg Skole, Birkevej 3, 3390, Halsnæs ",Lillebjerg Skole,Birkevej 3,3390,Halsnæs , Hovedstaden,55.95638516,11.8563054
"Ullerødskolen, Holmegårdsvej 102, 2980, Fredensborg ",Ullerødskolen,Holmegårdsvej 102,2980,Fredensborg , Hovedstaden,55.9096072,12.48640425
"Drosthuset Dyssegården, Avderødvej 32 A, 2980, Fredensborg ",Drosthuset Dyssegården,Avderødvej 32 A,2980,Fredensborg , Hovedstaden,55.91820371,12.43408258
"Møllevejens Skole, Møllevej 9S, 2990, Fredensborg ",Møllevejens Skole,Møllevej 9S,2990,Fredensborg , Hovedstaden,55.92615541,12.48811229
"Dagskolen i Karleby, Karlebyvej 62, Ll. Karleby, 4070, Lejre ",Dagskolen i Karleby,"Karlebyvej 62, Ll. Karleby",4070,Lejre , Sjælland,55.68564512,11.92056743
"Kirkemosegaard, Greve Landevej 77, 2670, Greve ",Kirkemosegaard,Greve Landevej 77,2670,Greve , Sjælland,55.5953367,12.25345093
"Bugtskolen, Hundige Alle 11, 2670, Greve ",Bugtskolen,Hundige Alle 11,2670,Greve , Sjælland,55.60147316,12.33173374
"Ellebækskolen, Lundegårdsvej 2, 4100, Køge ",Ellebækskolen,Lundegårdsvej 2,4100,Køge , Sjælland,55.42939965,11.98239562
"Nordgårdsskolen, Skolevej 3, Svogerslev, 4000, Roskilde ",Nordgårdsskolen,"Skolevej 3, Svogerslev",4000,Roskilde , Sjælland,55.63461679,12.01200647
"Fjordskolen, Sognevej 50, 4000, Roskilde ",Fjordskolen,Sognevej 50,4000,Roskilde , Sjælland,55.73494357,12.13593548
"Fjordskolen, Lysholm, Hyrdehøj 5, 4000, Roskilde ","Fjordskolen, Lysholm",Hyrdehøj 5,4000,Roskilde , Sjælland,55.63112634,12.05646908
"Fjordskolen, Hedevang, Sognevej 50, 4000, Roskilde ","Fjordskolen, Hedevang",Sognevej 50,4000,Roskilde , Sjælland,55.73494357,12.13593548
